model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,filler_prob,ordered_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_field,0,48,64,512,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.0803241821122356e-06,1.0,75.75883603096008,1.090510606765747,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,8.881015105544066e-07,1.0,75.75883603096008,2.349609375,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.810265757740126e-06,1.0,75.75883603096008,5.876912593841553,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.9108433662040625e-06,1.0,75.75883603096008,12.522690296173096,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,64,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,1.316499947279226e-06,1.0,75.35459733009338,0.2924330234527588,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,128,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,4.614421868609497e-06,1.0,75.35459733009338,0.36867523193359375,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,256,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,4.365102540759835e-06,1.0,75.35459733009338,0.5711002349853516,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,512,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,2.0291311102482723e-06,1.0,75.35459733009338,1.1183829307556152,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,1.4396156302609597e-06,1.0,75.35459733009338,2.376255512237549,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,3.0939868338464294e-06,1.0,75.35459733009338,5.903152227401733,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,4.376175638753921e-06,1.0,75.35459733009338,12.541622161865234,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,2,48,64,64,2000,64,16,16,8,0.25,False,0.006,16507,7.181288765423233e-06,1.0192133231612388e-05,1.0,74.45785117149353,0.28589558601379395,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,2,48,64,128,2000,64,16,16,8,0.25,False,0.006,16507,7.181288765423233e-06,1.7651545931585133e-06,1.0,74.45785117149353,0.37503790855407715,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,2,48,64,256,2000,64,16,16,8,0.25,False,0.006,16507,7.181288765423233e-06,2.927300329247373e-06,1.0,74.45785117149353,0.6004986763000488,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,2,48,64,512,2000,64,16,16,8,0.25,False,0.006,16507,7.181288765423233e-06,1.2255371757419198e-06,1.0,74.45785117149353,1.089385986328125,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,2,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16507,7.181288765423233e-06,2.1089217625558376e-06,1.0,74.45785117149353,2.38421368598938,dabsn_thesis_20260630_033000_keyvalue_length_ood
