lane,category,task,model,metric,train_len,eval_len,length_factor,model_value,baseline,baseline_value,chance,seeds,source,notes
copy_induction,generalist,copy (memory-bandwidth corner),DABSN,accuracy,64,512,8x,0.9990,transformer_rope,chance,0.0156,1,paper table,"vocab64 h96; acc 0.9999/0.9999/0.9994/0.9990 at 64/128/256/512; RoPE cliffs to chance at 2x; induction gain rises while recurrence gain idles"
s5_state_tracking,generalist,S5 word problem (NC1 state-tracking),DABSN,accuracy,128,2048,16x,0.8971,lstm,0.283,0.0083,1,paper table,"h64 lr0.01 16000 steps; acc 0.9966/0.9978/0.9933/0.9855/0.8971 at 64/256/512/1024/2048; recurrence gain adopted while induction idles; Mamba gap is theorem-backed"
mqar_recall,generalist,MQAR recall-at-length,DABSN,accuracy,64,2000,31x,1.0000,transformer_rope,0.1779,0.0625,1,paper table,"DABSN flat-perfect to 31x; RoPE 1.0->0.438 at 512->0.178 at 2000; absolute-position transformer falls to chance immediately"
keyvalue_addressing,generalist,key-value retrieval,DABSN,accuracy,64,512,8x,1.0000,gru,0.0813,0.0625,1,paper table,"h16; flat-perfect to 8x; parameter-matched GRU 0.159->0.081; transformer 0.422->0.055"
burst_anomaly,generalist,burst-anomaly length-generalization,DABSN,accuracy,64,1024,16x,1.0000,transformer,0.4813,0.50,1,paper table,"h16 2112 parameters; DABSN reaches GRU-parity at 16x; LSTM/transformer/coRNN near chance"
lm_length_char,generalist,Shakespeare char-LM length,DABSN,bpc,128,2048,16x,2.37,transformer_rope,5.86,NA,1,paper table,"bpc approximately flat from context 128 to 2048; transformer_rope collapses to near-random at 2048; DABSN trails in-distribution at context 128 by 0.057 bpc"
a5_state_tracking,generalist,A5/60 word problem (NC1 state-tracking),DABSN,accuracy,256,16384,64x,1.0000,lstm,0.139,0.0167,2,paper table,"headline state-tracking result; h256 seq:256:256 60000 steps; perfect 1.000 to length 16384 (64x) at BOTH seeds; LSTM decays to 0.139 and RoPE at chance by 2048; linear-state (TC0) ablation of the same block collapses to chance even at train length, so the nonlinear recurrent state carries it"
