run,status,error,group,alphabet_mode,alphabet_size,input_encoding,input_dim,train_len_min,train_len_max,warmup_steps,pairwise_first_acc,pairwise_compose_acc,model,condition,seed,hidden,train_seq_len,eval_seq_len,steps,train_steps_done,batch_size,val_batches,lr,params,train_acc_last,eval_loss,eval_acc,seconds_train,seconds_eval,peak_cuda_mb
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,128,60000,60000,64,3,0.003,341052,1.0,0.0005331103845189015,1.0,425.62270998954773,0.029313087463378906,84.43115234375
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,256,60000,60000,64,3,0.003,341052,1.0,0.0005938488175161183,1.0,425.62270998954773,0.053867340087890625,137.61083984375
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,512,60000,60000,64,3,0.003,341052,1.0,0.0007141772851658364,1.0,425.62270998954773,0.12012505531311035,181.23583984375
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,1024,60000,60000,12,3,0.003,341052,1.0,0.034513054260363184,0.9954427083333334,425.62270998954773,0.1088097095489502,73.666015625
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,2048,60000,60000,8,3,0.003,341052,1.0,1.1814514597256978,0.85723876953125,425.62270998954773,0.18545985221862793,80.455078125
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,4096,60000,60000,4,3,0.003,341052,1.0,7.709587097167969,0.4549560546875,425.62270998954773,0.42916417121887207,76.400390625
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,8192,60000,60000,4,3,0.003,341052,1.0,10.943235397338867,0.24535115559895834,425.62270998954773,0.866657018661499,119.775390625
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,lstm,intact,0,256,256,16384,60000,60000,4,3,0.003,341052,1.0,12.88160483042399,0.13897196451822916,425.62270998954773,1.7249197959899902,206.525390625
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,128,60000,60000,64,3,0.003,378198,1.0,5.041787820421935e-06,1.0,4092.727038383484,0.12616348266601562,215.34423828125
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,256,60000,60000,64,3,0.003,378198,1.0,9.160314220935106e-06,1.0,4092.727038383484,0.29398012161254883,409.13427734375
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,512,60000,60000,64,3,0.003,378198,1.0,1.3911786785077615e-05,1.0,4092.727038383484,3.6864326000213623,798.97998046875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,1024,60000,60000,12,3,0.003,378198,1.0,1.6659905668348074e-05,1.0,4092.727038383484,2.6733951568603516,311.82763671875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,2048,60000,60000,8,3,0.003,378198,1.0,1.712904304440599e-05,1.0,4092.727038383484,3.088623523712158,409.03857421875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,4096,60000,60000,4,3,0.003,378198,1.0,1.8440268225579832e-05,1.0,4092.727038383484,3.6284019947052,409.04638671875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,8192,60000,60000,4,3,0.003,378198,1.0,1.843911862427679e-05,1.0,4092.727038383484,6.549501419067383,798.92138671875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,0,256,256,16384,60000,60000,4,3,0.003,378198,1.0,1.8768818942286696e-05,1.0,4092.727038383484,15.841212511062622,1576.67529296875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,128,60000,60000,64,3,0.003,378198,1.0,5.2233381271362305,0.0185546875,4092.727038383484,0.13382863998413086,215.3447265625
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,256,60000,60000,64,3,0.003,378198,1.0,5.208738485972087,0.017191569010416668,4092.727038383484,0.29067063331604004,409.134765625
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,512,60000,60000,64,3,0.003,378198,1.0,5.210730234781901,0.017405192057291668,4092.727038383484,0.6784811019897461,798.98046875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,1024,60000,60000,12,3,0.003,378198,1.0,5.214428583780925,0.01703559048473835,4092.727038383484,0.4057271480560303,311.828125
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,2048,60000,60000,8,3,0.003,378198,1.0,5.208519617716472,0.0166015625,4092.727038383484,0.7937886714935303,409.0390625
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,4096,60000,60000,4,3,0.003,378198,1.0,5.198574860890706,0.01690673828125,4092.727038383484,1.3042171001434326,409.046875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,8192,60000,60000,4,3,0.003,378198,1.0,5.214456717173259,0.016367594401041668,4092.727038383484,3.9357972145080566,798.921875
paper_ready_a5_60_t4_20260703_043619,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,0,256,256,16384,60000,60000,4,3,0.003,378198,1.0,5.211504141489665,0.016927083333333332,4092.727038383484,13.562176704406738,1576.67578125
