model,seed,hidden,vocab,train_str_len,eval_str_len,steps,batch_size,lr,params,train_acc_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_seq,0,48,64,64,64,1000,48,0.01,21738,0.9847005009651184,0.06459920778870583,0.984765625,15.346434831619263,0.01856827735900879,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,0,48,64,64,128,1000,48,0.01,21738,0.9847005009651184,0.03396414667367935,0.9922526001930236,15.346434831619263,0.02991962432861328,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,0,48,64,64,256,1000,48,0.01,21738,0.9847005009651184,0.01915169171988964,0.996044921875,15.346434831619263,0.03820991516113281,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,0,48,64,64,512,1000,48,0.01,21738,0.9847005009651184,0.015726059302687646,0.9973876953125,15.346434831619263,0.11858773231506348,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,0,48,64,64,1024,1000,48,0.01,21738,0.9847005009651184,0.026466838270425796,0.9973388671875,15.346434831619263,0.6126205921173096,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,0,48,64,64,2048,1000,48,0.01,21738,0.9847005009651184,0.08910819292068481,0.993719482421875,15.346434831619263,1.9643051624298096,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,0,48,64,64,3200,1000,48,0.01,21738,0.9847005009651184,0.2089473068714142,0.984917962551117,15.346434831619263,4.329386234283447,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,1,48,64,64,64,1000,48,0.01,21738,0.9850260615348816,0.05591975748538971,0.9857421875,14.683271408081055,0.018511295318603516,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,1,48,64,64,128,1000,48,0.01,21738,0.9850260615348816,0.029709818959236144,0.9923828125,14.683271408081055,0.029724597930908203,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,1,48,64,64,256,1000,48,0.01,21738,0.9850260615348816,0.01692797876894474,0.996044921875,14.683271408081055,0.03806495666503906,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,1,48,64,64,512,1000,48,0.01,21738,0.9850260615348816,0.01328503955155611,0.9974365234375,14.683271408081055,0.11858344078063965,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,1,48,64,64,1024,1000,48,0.01,21738,0.9850260615348816,0.021171826496720315,0.99713134765625,14.683271408081055,0.43726515769958496,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,1,48,64,64,2048,1000,48,0.01,21738,0.9850260615348816,0.07414626628160477,0.991949462890625,14.683271408081055,1.7983012199401855,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,1,48,64,64,3200,1000,48,0.01,21738,0.9850260615348816,0.18612826764583587,0.9772812485694885,14.683271408081055,4.325190782546997,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,2,48,64,64,64,1000,48,0.01,21738,0.9856770634651184,0.05417469292879105,0.984960925579071,14.633762836456299,0.018461227416992188,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,2,48,64,64,128,1000,48,0.01,21738,0.9856770634651184,0.02965128868818283,0.9921223878860473,14.633762836456299,0.029578685760498047,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_seq,2,48,64,64,256,1000,48,0.01,21738,0.9856770634651184,0.02115383744239807,0.994970703125,14.633762836456299,0.03803253173828125,dabsn_thesis_20260630_012013_copy_length_ood
