model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_field,0,48,64,2000,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,4.389769901536056e-06,1.0,71.54933619499207,13.554515600204468,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,3200,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,8.081480427790665e-06,1.0,71.54933619499207,25.158679723739624,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,64,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,0.00011033551709260792,1.0,71.45831894874573,0.639385461807251,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,128,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,0.00015930568479234354,1.0,71.45831894874573,0.9530587196350098,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,256,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,7.11699391104048e-05,1.0,71.45831894874573,1.6284339427947998,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,512,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,6.7034223684459e-05,1.0,71.45831894874573,3.0617876052856445,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,1024,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,5.2660385154013054e-05,1.0,71.45831894874573,6.3002989292144775,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,2000,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,5.280210643832106e-05,1.0,71.45831894874573,13.534531593322754,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,3200,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,6.425881929317256e-05,1.0,71.45831894874573,25.023708820343018,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,2,48,64,64,1000,64,16,16,8,0.006,16507,1.2041784884786466e-06,1.8461989498064212e-06,1.0,71.4281861782074,0.6634869575500488,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,2,48,64,128,1000,64,16,16,8,0.006,16507,1.2041784884786466e-06,1.1062011481044464e-06,1.0,71.4281861782074,0.9592430591583252,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,2,48,64,256,1000,64,16,16,8,0.006,16507,1.2041784884786466e-06,1.801090104436298e-06,1.0,71.4281861782074,1.6269657611846924,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,2,48,64,512,1000,64,16,16,8,0.006,16507,1.2041784884786466e-06,3.0146689482535294e-06,1.0,71.4281861782074,3.056609630584717,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,2,48,64,1024,1000,64,16,16,8,0.006,16507,1.2041784884786466e-06,2.8987469136154687e-06,1.0,71.4281861782074,6.294015407562256,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,2,48,64,2000,1000,64,16,16,8,0.006,16507,1.2041784884786466e-06,2.7173653279533027e-06,1.0,71.4281861782074,13.632980108261108,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,2,48,64,3200,1000,64,16,16,8,0.006,16507,1.2041784884786466e-06,3.347380345530837e-06,1.0,71.4281861782074,24.93214774131775,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,0,48,64,64,1000,64,16,16,8,0.006,16507,9.387376849190332e-06,4.5069219459037414e-05,1.0,72.17056679725647,0.6373677253723145,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_hybrid,0,48,64,128,1000,64,16,16,8,0.006,16507,9.387376849190332e-06,5.30762199559831e-06,1.0,72.17056679725647,0.9655191898345947,dabsn_thesis_20260630_012013_mqar_length_ood
